fid;Nr.;Nafn;Gerð;NG;X;Y;Z;H;Lengd;Horn;Unnið af;Dagsetning;tími;Ljósmynd;ALmenn lýsing á Jarðvegsaðstæðum;Til sérstakrar athugunar;Stagfestugerð;Gæði mats (1:borað, 2:pjakkað, 3:metið á staðnum) (V-H-A-F);Dýpi á jarðvatn [m] (V-H-A-F);Þykkt á lífrænu lagi [m] (V-H-A-F);Dýpi á burðarhæft [m] (V-H-A-F);Dýpi á fast [m] (V-H-A-F);Lífrænt efni (V-H-A-F);Yfir burðarhæfu (V-H-A-F);Burðarhæft efni (V-H-A-F);Klöpp (V-H-A-F);Er Nægjanlegt pláss fyrir mastrið, undirstöður, stagfestur og annan búnað?;Eru aðstæður fullnægjandi (fen, skurður, lækjarfarvegur o.s.frv.)?;Er mastrið utan hættusvæðis vegna landsbrots, skriðufalla, snjóflóða o.s.frv.?;Er mastrið utan við tún eða aðra viðkvæma staði?;Er staðbundin snjósöfnun í mastursstæði ólíkleg?;Er hóflegur hliðarhalli í mastursstæði?;Er þörf á sérstökum ráðstöfunum í mastursstæði? Ef þörf, þá hver?;Eru aðstæður í mastursstæði betri ef mastri er hliðrað til?;Leiðir færsla á mastri til þess að færa þurfi næstu möstur?;Er góð aðkoma að mastursstæði;Er þörf á aðkomuslóð (ef ekki, þá hvers vegna?);Er þörf á slóð fyrir jarðvinnutæki?;Er þörf á reisingarplani fyrir krana?;Búið að teikna aðkomuslóð a mynd?;Uppfyllir mastursstæði kröfur reglugerða um fjarlægð frá vegum og öðrum mannvirkjum? (1: já, 2:nei);Mastursstæði er í lagi, ekki þörf á breytingu;Skráning lokið (x)
43;41;38-B;BS;41 BS;457761.321;557628.504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;42;39-B;BS;42 BS;457743.489;557867.159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;43;40-B;BS;43 BS;457724.329;558123.574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;44;40-B-C;BS;44 BS;457706.932;558356.405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;45;41-B;FA;45 FA;457676.58;558762.622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;46;41-B-C;BS;46 BS;457400.651;559033.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;47;42-B;BS;47 BS;457129.058;559299.396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;48;43-B;BS;48 BS;456889.399;559534.351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;49;45-B;BS;49 BS;456633.172;559785.548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;50;46-B;BS;50 BS;456356.166;560057.117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;51;46A-B;BS;51 BS;456115.306;560293.248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;52;47-B;BS;52 BS;455863.829;560539.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;53;48-B;BS;53 BS;455587.694;560810.504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;54;49-B;BS;54 BS;455326.768;561066.307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;55;50-B;BS;55 BS;455030.296;561356.96;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510239/HH3-50-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;56;51-B;BS;56 BS;454766.548;561554.839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;57;52-B;BS;57 BS;454556.836;561712.176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;58;53-B;SMH;58 SMH;454292.894;561910.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;59;54-B;BS;59 BS;454046.163;561982.668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;60;55-B;BS;60 BS;453808.283;562052.537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;60_1;56-B;BSH;60_1 BSH;453506.246;562141.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;61;57-B;BS;61 BS;453240.417;562235.511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;62;58-B;SMH;62 SMH;452969.049;562331.736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;63;59-C;BS;63 BS;452621.453;562485.263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;64;60-C;BS;64 BS;452281.577;562635.379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;65;61-C;SMH;65 SMH;451937.147;562787.508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;66;62-C;BS;66 BS;451699.645;563005.785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;67;63-C;BS;67 BS;451416.465;563266.043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;68;64-C;BS;68 BS;451135.988;563523.818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;69;65-C;BS;69 BS;450881.581;563757.631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;70;66-C;BSH;70 BSH;450545.184;564066.799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;71;67-C;BS;71 BS;450271.797;564250.801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;72;68-C;BS;72 BS;450020.637;564419.844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;73;69-C;BS;73 BS;449766.539;564590.864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;74;70-C;SMH;74 SMH;449620.157;564689.386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;75;71-C;BS;75 BS;449504.712;564864.653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;76;72-C;BS;76 BS;449371.688;565066.609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;77;73-C;BS;77 BS;449207.452;565315.949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;78;74-C;BS;78 BS;449040.923;565568.772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;79;75-C;BS;79 BS;448862.511;565839.634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;80;76-C;BSH;80 BSH;448681.818;566113.961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;81;76-B;BS;81 BS;448484.095;566496.076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;82;77-B;BS;82 BS;448370.812;566715.003;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510478/HH3-77-B_5.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;83;78-B;BS;83 BS;448273.206;566903.634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;84;79-B;SMH;84 SMH;448186.146;567071.884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;85;80-B;BS;85 BS;447965.049;567305.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;86;81-B;SMH;86 SMH;447759.663;567522.746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;87;82-B;BS;87 BS;447530.555;567764.951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;88;83-B;BS;88 BS;447285.463;568024.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;89;83A-B;BSH;89 BSH;447036.625;568287.117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;90;83B-B;BS;90 BS;446747.56;568521.591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;91;84-B;BSH;91 BSH;446456.706;568757.515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;92;85-B;BS;92 BS;446198.714;569032.371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;93;86-B;BS;93 BS;445965.133;569281.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;94;87-B;BS;94 BS;445754.411;569505.716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;95;88-B;BS;95 BS;445544.228;569729.637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;96;89-B;BS;96 BS;445306.295;569983.123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;97;90-B;FAJ;97 FAJ;445066.74;570238.337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;98;91-B;BSJ;98 BSJ;444761.902;570161.675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;99;92-B;BSHJ;99 BSHJ;444409.721;570073.107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;100;93-B;SMHJ;100 SMHJ;444107.331;569986.344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;101;94-B;FAJ;101 FAJ;443825.541;569981.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;102;95-B;Tv.;102 Tv. Lax;443765.482;569970.063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
