fid;Nr.;Nafn;Gerð;NG;X;Y;Z;H;Lengd;Horn;Unnið af;Dagsetning;tími;Ljósmynd;ALmenn lýsing á Jarðvegsaðstæðum;Til sérstakrar athugunar;Stagfestugerð;Gæði mats (1:borað, 2:pjakkað, 3:metið á staðnum) (V-H-A-F);Dýpi á jarðvatn [m] (V-H-A-F);Þykkt á lífrænu lagi [m] (V-H-A-F);Dýpi á burðarhæft [m] (V-H-A-F);Dýpi á fast [m] (V-H-A-F);Lífrænt efni (V-H-A-F);Yfir burðarhæfu (V-H-A-F);Burðarhæft efni (V-H-A-F);Klöpp (V-H-A-F);Er Nægjanlegt pláss fyrir mastrið, undirstöður, stagfestur og annan búnað?;Eru aðstæður fullnægjandi (fen, skurður, lækjarfarvegur o.s.frv.)?;Er mastrið utan hættusvæðis vegna landsbrots, skriðufalla, snjóflóða o.s.frv.?;Er mastrið utan við tún eða aðra viðkvæma staði?;Er staðbundin snjósöfnun í mastursstæði ólíkleg?;Er hóflegur hliðarhalli í mastursstæði?;Er þörf á sérstökum ráðstöfunum í mastursstæði? Ef þörf, þá hver?;Eru aðstæður í mastursstæði betri ef mastri er hliðrað til?;Leiðir færsla á mastri til þess að færa þurfi næstu möstur?;Er góð aðkoma að mastursstæði;Er þörf á aðkomuslóð (ef ekki, þá hvers vegna?);Er þörf á slóð fyrir jarðvinnutæki?;Er þörf á reisingarplani fyrir krana?;Búið að teikna aðkomuslóð a mynd?;Uppfyllir mastursstæði kröfur reglugerða um fjarlægð frá vegum og öðrum mannvirkjum? (1: já, 2:nei);Mastursstæði er í lagi, ekki þörf á breytingu;Skráning lokið (x)
13;11;9-B;BS;11 BS;460343.592;549087.871;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510674/HH3-9-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510672/HH3-9-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510679/HH3-9-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510669/HH3-9-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510667/HH3-9-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510677/HH3-9-B_5.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;12;10-B;BS;12 BS;460188.455;549337.137;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509826/HH3-10-B_7.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509816/HH3-10-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509814/HH3-10-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509821/HH3-10-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509819/HH3-10-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509831/HH3-10-B_9.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509823/HH3-10-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509828/HH3-10-B_8.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509812/HH3-10-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;13;11-B;BS;13 BS;460047.284;549563.964;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509835/HH3-11-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509833/HH3-11-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509837/HH3-11-B_3.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;14;12-B;BS;14 BS;459884.956;549824.785;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509847/HH3-12-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509840/HH3-12-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509850/HH3-12-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509843/HH3-12-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509853/HH3-12-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509845/HH3-12-B_3.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;15;13-B;BS;15 BS;459710.586;550104.954;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509860/HH3-13-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509858/HH3-13-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509855/HH3-13-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;16;14-B;BS;16 BS;459552.452;550359.034;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509863/HH3-14-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509866/HH3-14-B_2.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;17;15-B;SMH;17 SMH;459385.205;550627.759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;18;16-B;BS;18 BS;459291.791;550882.342;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509939/HH3-16-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509942/HH3-16-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509937/HH3-16-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;19;17-B;BS;19 BS;459198.484;551136.634;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509955/HH3-17-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509948/HH3-17-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509944/HH3-17-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509950/HH3-17-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509962/HH3-17-B_9.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509957/HH3-17-B_7.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509959/HH3-17-B_8.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509946/HH3-17-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509952/HH3-17-B_5.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;20;18-B;BS;20 BS;459090.888;551429.867;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509967/HH3-18-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509970/HH3-18-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509965/HH3-18-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
